City,Customer Name,Customer Segment,Customer Type,Feedback,Gender,Order Date,Order ID,Order Priority,POS,Product Category,Product Container,Product Name,Product Sub-Category,Promotion,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Discount,Labour Cost,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Fort Dodge,Matt Collins,Consumer,Direct,Satisified,Male,05/01/09,1028,High,Point of Sales,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Window Display,Central,164,06/01/09,Regular Air,Iowa,50501,0.03,0.995,1,6,0.4,-28.46,165.75,1.99,28.48
Bedford,Darren Budd,Consumer,Online,Very Satisfied,Female,05/01/09,57253,Critical,Call Center,Furniture,Jumbo Box,"Iceberg OfficeWorks 42"" Round Tables",Tables,Window Display,Central,8014,06/01/09,Regular Air,Texas,76021,0.08,2.84,1,49,0.7,-139.15575,240.3,5.68,4.91
Bedford,Darren Budd,Consumer,Online,Very Satisfied,Female,05/01/09,57253,Critical,Call Center,Furniture,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Window Display,Central,8011,06/01/09,Regular Air,Texas,76021,0.08,0.375,1,43,0.58,1.74,78.08,0.75,1.81
Dubuque,Marina Lichtenstein,Corporate,Online,Satisified,Male,05/01/09,32418,Not Specified,Call Center,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Outdoor Advertising,Central,4555,06/01/09,Delivery Truck,Iowa,52001,0.08,21.66,1,5,0.55,-131.31,1244.19,43.32,243.98
Norman,Pauline Chand,Small Business,Online,Satisified,Male,05/01/09,28451,Critical,Point of Sales,Furniture,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Office Furnishings,Outdoor Advertising,Central,3982,06/01/09,Regular Air,Oklahoma,73071,0.02,10.605,1,41,0.59,2593.14,8958.46,21.21,209.84
Mount Prospect,Susan Vittorini,Home Office,Direct,Very Satisfied,Male,05/01/09,52386,High,Point of Sales,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,Outdoor Advertising,Central,7352,07/01/09,Delivery Truck,Illinois,60056,0.08,13.15,1,6,0.38,-188.5812,700.73,26.3,120.97
Fort Dodge,Matt Collins,Consumer,Direct,Satisified,Male,05/01/09,1028,High,Point of Sales,Technology,Small Box,3285,Telephones and Communication,Window Display,Central,165,07/01/09,Regular Air,Iowa,50501,0.01,2.995,1,11,0.59,-60.39,2021.147,5.99,205.99
Bedford,Darren Budd,Consumer,Online,Very Satisfied,Female,05/01/09,57253,Critical,Call Center,Furniture,Jumbo Drum,Hon 4700 Series Mobuisª Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,Window Display,Central,8012,07/01/09,Delivery Truck,Texas,76021,0.06,26.515,1,29,0.64,-1358.9,653.54,53.03,20.98
Monroe,Robert Waldorf,Home Office,Online,Satisified,Female,05/01/09,59232,High,Point of Sales,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,Outdoor Advertising,South,8291,07/01/09,Regular Air,Louisiana,71203,0,2.88,1,23,0.4,245.97,725.43,5.76,30.98
Norman,Pauline Chand,Small Business,Online,Satisified,Male,05/01/09,28451,Critical,Point of Sales,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,Outdoor Advertising,Central,3981,07/01/09,Regular Air,Oklahoma,73071,0.01,5.77,1,21,0.59,1162.76,4201.08,11.54,194.3
Norman,Pauline Chand,Small Business,Online,Satisified,Male,05/01/09,28451,Critical,Point of Sales,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Outdoor Advertising,Central,3983,07/01/09,Delivery Truck,Oklahoma,73071,0,8.925,1,33,0.56,1054.93,4913.7,17.85,145.45
Bristol,Corey Roper,Small Business,Online,Very Satisfied,Male,06/01/09,48226,Low,Call Center,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,Television Advertising,East,6773,06/01/09,Delivery Truck,Connecticut,6010,0.02,17.92,1,23,0.62,-108.8,2357.45,35.84,100.98
Galesburg,Julia West,Home Office,Direct,Very UnSatisfied,Female,06/01/09,23488,Critical,Call Center,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Outdoor Advertising,Central,3284,07/01/09,Delivery Truck,Illinois,61401,0.04,22.275,1,30,0.62,-11053.6,26133.39,44.55,880.98
Herndon,Tracy Collins,Consumer,Direct,Very Satisfied,Female,06/01/09,16961,Not Specified,Point of Sales,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,Window Display,South,2350,07/01/09,Regular Air,Virginia,20170,0.06,0.995,1,27,0.51,-37.08,46.86,1.99,1.7
Petersburg,Muhammed Yedwab,Consumer,Direct,Satisified,Male,06/01/09,16770,Critical,Point of Sales,Office Supplies,Wrap Bag,"Sanford EarthWrite¨ Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,Window Display,South,2325,07/01/09,Regular Air,Virginia,23805,0.03,0.35,1,17,0.57,0.61,37.06,0.7,2.1
Hilton Head Island,Craig Leslie,Consumer,Online,Very Satisfied,Male,06/01/09,14274,Not Specified,Call Center,Technology,Small Box,Accessory35,Telephones and Communication,Outdoor Advertising,South,2003,07/01/09,Regular Air,South Carolina,29915,0.03,0.55,1,2,0.55,-164.043,61.7185,1.1,35.99
San Clemente,Julia Barnett,Home Office,Direct,Very UnSatisfied,Female,06/01/09,23488,High,Call Center,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,Outdoor Advertising,West,3283,08/01/09,Regular Air,California,92672,0.03,1.985,1,29,0.56,-73.19,101.77,3.97,3.28
Herndon,Tracy Collins,Consumer,Direct,Very Satisfied,Female,06/01/09,16961,Not Specified,Point of Sales,Office Supplies,Small Box,Xerox 19,Paper,Window Display,South,2351,08/01/09,Regular Air,Virginia,20170,0.01,2.545,1,34,0.4,433.24,1089.59,5.09,30.98
Royal Palm Beach,Victor Price,Consumer,Direct,Very Satisfied,Male,06/01/09,6854,Medium,Point of Sales,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Window Display,South,948,08/01/09,Express Air,Florida,33411,0.05,2.475,1,19,0.37,2.39,129.84,4.95,6.64
Royal Palm Beach,Victor Price,Consumer,Direct,Very Satisfied,Male,06/01/09,6854,Medium,Point of Sales,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,Window Display,South,947,08/01/09,Express Air,Florida,33411,0.07,3.08,1,1,0.35,-2.392,22.13,6.16,7.68
Hilton Head Island,Craig Leslie,Consumer,Online,Very Satisfied,Male,06/01/09,14274,Not Specified,Call Center,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,Outdoor Advertising,South,2001,08/01/09,Delivery Truck,South Carolina,29915,0.01,15,1,23,0.74,112.44,3674.08,30,150.98
Hilton Head Island,Craig Leslie,Consumer,Online,Very Satisfied,Male,06/01/09,14274,Not Specified,Call Center,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,Outdoor Advertising,South,2002,08/01/09,Express Air,South Carolina,29915,0.01,6.995,1,46,0.58,-40.72,1413.89,13.99,28.28
Fairfax,Maribeth Schnelling,Corporate,Online,Satisified,Male,06/01/09,41094,Low,Point of Sales,Office Supplies,Small Box,Xerox 227,Paper,Outdoor Advertising,South,5794,08/01/09,Regular Air,Virginia,20151,0.09,4.365,1,46,0.37,-225.86,298.97,8.73,6.48
Fairfax,Maribeth Schnelling,Corporate,Online,Satisified,Male,06/01/09,41094,Low,Point of Sales,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,Outdoor Advertising,South,5795,10/01/09,Regular Air,Virginia,20151,0.05,17.5,1,6,0.84,-153.46,159.05,35,20.34
Franklin Square,Jasper Cacioppo,Home Office,Direct,Unsatisfied,Male,07/01/09,3073,Medium,Call Center,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,Radio Advertising,East,450,08/01/09,Regular Air,New York,11010,0.05,2.385,1,3,0.4,-11.5805,10.58,4.77,1.98
Franklin Square,Jasper Cacioppo,Home Office,Direct,Unsatisfied,Male,07/01/09,3073,Medium,Call Center,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,Radio Advertising,East,451,08/01/09,Express Air,New York,11010,0.07,12.245,1,3,0.41,-2314.74,2119.67,24.49,699.99
Franklin Square,Jasper Cacioppo,Home Office,Direct,Unsatisfied,Male,07/01/09,3073,Medium,Call Center,Technology,Large Box,Polycom ViewStationª ISDN Videoconferencing Unit,Office Machines,Radio Advertising,East,452,08/01/09,Regular Air,New York,11010,0.07,12.245,1,7,0.39,102.61,45923.76,24.49,6783.02
Las Vegas,Chloris Kastensmidt,Consumer,Online,Satisified,Female,07/01/09,43909,High,Call Center,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Television Advertising,West,6199,08/01/09,Regular Air,Nevada,89115,0.08,6.59,1,46,0.37,-199.134,737.25,13.18,15.99
Norman,Pauline Chand,Small Business,Online,Satisified,Male,07/01/09,32295,High,Point of Sales,Technology,Small Box,i1000,Telephones and Communication,Outdoor Advertising,Central,4540,08/01/09,Regular Air,Oklahoma,73071,0.07,2.995,1,11,0.58,-112.244,607.597,5.99,65.99
Lubbock,George Ashbrook,Consumer,Direct,Very Satisfied,Male,07/01/09,18405,Medium,Call Center,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,Film Advertising,Central,2538,09/01/09,Express Air,Texas,79424,0.09,4.415,1,30,0.37,60.2735,610.65,8.83,20.98
Lubbock,George Ashbrook,Consumer,Direct,Very Satisfied,Male,07/01/09,18405,Medium,Call Center,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,Film Advertising,Central,2539,10/01/09,Regular Air,Texas,79424,0.03,7.26,1,2,0.65,-263.09,158.04,14.52,73.98
Fresno,Benjamin Venier,Small Business,Direct,Satisified,Male,07/01/09,33923,Low,Call Center,Technology,Small Box,i1000,Telephones and Communication,fairs and exhibition,West,4778,11/01/09,Regular Air,California,93727,0.05,2.995,1,34,0.58,425.754,1961.7915,5.99,65.99
Brunswick,Julie Kriz,Corporate,Direct,Very UnSatisfied,Female,07/01/09,40704,Low,Point of Sales,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,Outdoor Advertising,East,5733,12/01/09,Regular Air,Maine,4011,0.01,0.35,1,6,0.56,-2.06,11.57,0.7,1.76
Garfield Heights,Sandra Flanagan,Home Office,Direct,Very UnSatisfied,Female,08/01/09,4193,High,Point of Sales,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Outdoor Advertising,East,612,08/01/09,Regular Air,Ohio,44125,0.03,4.495,1,3,0.44,64.25,75.77,8.99,22.72
Garfield Heights,Sandra Flanagan,Home Office,Direct,Very UnSatisfied,Female,08/01/09,4193,High,Point of Sales,Office Supplies,Small Box,Avery 491,Labels,Outdoor Advertising,East,611,08/01/09,Regular Air,Ohio,44125,0.07,0.495,1,16,0.39,14.42,64.29,0.99,4.13
Myrtle Beach,Luke Schmidt,Home Office,Online,Satisified,Female,08/01/09,30083,Not Specified,Call Center,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,Outdoor Advertising,South,4234,09/01/09,Regular Air,South Carolina,29577,0.07,1.75,1,23,0.58,20.43,324.28,3.5,14.56
Edmonds,Ruben Dartt,Corporate,Direct,Satisified,Female,08/01/09,7203,High,Call Center,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,Outdoor Advertising,West,998,10/01/09,Regular Air,Washington,98026,0.03,9.995,1,25,0.38,9296.348,21752.01,19.99,896.99
Pasadena,Mark Haberlin,Small Business,Online,Satisified,Male,09/01/09,31715,Not Specified,Point of Sales,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,Window Display,West,4451,09/01/09,Regular Air,California,91104,0.05,1.985,1,44,0.56,-116.87,145.19,3.97,3.28
Lawton,Joni Blumstein,Home Office,Online,Very UnSatisfied,Female,09/01/09,18561,Not Specified,Call Center,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,Outdoor Advertising,Central,2571,10/01/09,Regular Air,Oklahoma,73505,0.02,3.445,1,9,0.39,-38.9,45.87,6.89,4.13
Pasadena,Mark Haberlin,Small Business,Online,Satisified,Male,09/01/09,31715,Not Specified,Point of Sales,Office Supplies,Small Box,"Acco PRESSTEX¨ Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,Window Display,West,4450,10/01/09,Regular Air,California,91104,0.01,3.785,1,11,0.36,-53.8545,68.5,7.57,5.38
Gilroy,Cynthia Voltz,Corporate,Online,Very Satisfied,Male,09/01/09,8576,High,Call Center,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,Outdoor Advertising,West,1173,11/01/09,Express Air,California,95020,0,4.495,1,43,0.59,-164.25,541.45,8.99,11.66
Plainfield,Yana Sorensen,Corporate,Online,Very Satisfied,Male,09/01/09,58343,Not Specified,Point of Sales,Office Supplies,Wrap Bag,Acco¨ Hot Clipsª Clips to Go,Rubber Bands,Window Display,East,8161,11/01/09,Regular Air,New Jersey,7060,0.07,0.675,1,39,0.4,11.32,121.87,1.35,3.29
Augusta,Mark Haberlin,Small Business,Online,Satisified,Male,09/01/09,31715,Not Specified,Point of Sales,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,Window Display,East,4449,11/01/09,Regular Air,Maine,4330,0.09,0.485,1,24,0.59,-4.09,64.11,0.97,2.78
Madison,Olvera Toch,Home Office,Online,Satisified,Male,09/01/09,40097,Low,Call Center,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,Outdoor Advertising,Central,5666,14/01/09,Regular Air,Wisconsin,53711,0.1,1.2,1,47,0.58,-71,117.88,2.4,2.6
King of Prussia,Benjamin Patterson,Corporate,Direct,Satisified,Male,09/01/09,47138,Low,Call Center,Technology,Small Box,M70,Telephones and Communication,fairs and exhibition,East,6627,16/01/09,Regular Air,Pennsylvania,19406,0.04,4.495,1,1,0.59,-506.308,107.95,8.99,125.99
Lehi,Ann Steele,Corporate,Direct,Satisified,Female,10/01/09,44391,Not Specified,Point of Sales,Office Supplies,Small Box,Xerox 1996,Paper,Direct Mail,West,6273,11/01/09,Regular Air,Utah,84043,0.02,4.585,1,16,0.37,-85.23,112.81,9.17,6.48
Essex Junction,Giulietta Dortch,Corporate,Direct,Satisified,Female,10/01/09,28999,High,Point of Sales,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Film Advertising,East,4073,11/01/09,Regular Air,Vermont,5451,0.02,0.995,1,34,0.45,420.05,1177.5,1.99,33.98
Denton,Darren Powers,Corporate,Online,Very Satisfied,Male,10/01/09,14596,Critical,Call Center,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,Window Display,Central,2046,11/01/09,Regular Air,Texas,76201,0.06,1.985,1,19,0.56,-53.75,63.14,3.97,3.28
Pittsburgh,Rob Haberlin,Consumer,Online,Satisified,Female,10/01/09,33988,Medium,Point of Sales,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Outdoor Advertising,East,4787,11/01/09,Regular Air,Pennsylvania,15122,0,2.57,1,30,0.79,-128.47,164.78,5.14,5.02
East Lansing,Kristina Nunn,Consumer,Online,Satisified,Male,10/01/09,55367,Critical,Point of Sales,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,Outdoor Advertising,Central,7731,11/01/09,Delivery Truck,Michigan,48823,0.05,23.37,1,31,0.56,-686.01,2137.1,46.74,70.98
Minnetonka,Sean Wendt,Corporate,Direct,Very UnSatisfied,Female,10/01/09,31553,Critical,Point of Sales,Office Supplies,Small Box,Multimedia Mailers,Envelopes,Outdoor Advertising,Central,4425,12/01/09,Regular Air,Minnesota,55345,0.09,9.995,1,32,0.39,1907.94,4906.85,19.99,162.93
Denton,Darren Powers,Corporate,Online,Very Satisfied,Male,10/01/09,14596,Critical,Call Center,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,Window Display,Central,2045,12/01/09,Regular Air,Texas,76201,0.01,0.48,1,24,0.43,73.33,199.12,0.96,8.34
Hazelwood,Maria Bertelson,Home Office,Online,Satisified,Male,10/01/09,28290,Low,Point of Sales,Office Supplies,Small Box,Fellowes Super Stor/Drawer¨ Files,Storage & Organization,Outdoor Advertising,Central,3965,12/01/09,Express Air,MO,63042,0.01,9.995,1,3,0.66,-179.36,523.58,19.99,161.55
East Lansing,Kristina Nunn,Consumer,Online,Satisified,Male,10/01/09,55367,Critical,Point of Sales,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,Outdoor Advertising,Central,7732,12/01/09,Regular Air,Michigan,48823,0.05,1.18,1,48,0.55,129.87,571.17,2.36,11.55
Hazelwood,Maria Bertelson,Home Office,Online,Satisified,Male,10/01/09,28290,Low,Point of Sales,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,Outdoor Advertising,Central,3964,14/01/09,Express Air,MO,63042,0.05,4.325,1,43,0.74,-154.24,1307.35,8.65,30.42
Pleasure Ridge Park,Michelle Moray,Corporate,Direct,Satisified,Male,10/01/09,20037,Low,Call Center,Furniture,Small Box,"Deflect-o SuperTrayª Unbreakable Stackable Tray, Letter, Black",Office Furnishings,Window Display,South,2775,15/01/09,Regular Air,Kentucky,40258,0.02,4.275,1,35,0.42,339.58,1009.42,8.55,29.18
Pleasure Ridge Park,Michelle Moray,Corporate,Direct,Satisified,Male,10/01/09,20037,Low,Call Center,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,Window Display,South,2776,15/01/09,Delivery Truck,Kentucky,40258,0.03,7.35,1,49,0.57,4913.16,15137.11,14.7,297.64
Trenton,Bradley Drucker,Small Business,Direct,Satisified,Male,11/01/09,33797,Not Specified,Point of Sales,Office Supplies,Small Box,Xerox 188,Paper,newspapers and magazines,East,4758,11/01/09,Regular Air,New Jersey,8601,0.03,2.505,1,18,0.36,30.53,216.87,5.01,11.34
Bellingham,Bradley Drucker,Small Business,Direct,Satisified,Male,11/01/09,33797,Not Specified,Point of Sales,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,newspapers and magazines,East,4754,11/01/09,Delivery Truck,MA,2019,0.08,7.35,1,20,0.57,653.68,4531.34,14.7,297.64
Springfield,Alan Barnes,Corporate,Direct,Neutral,Male,11/01/09,19655,High,Call Center,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Radio Advertising,Central,2726,12/01/09,Regular Air,Illinois,62701,0.06,0.995,1,31,0.51,304.42,1143.45,1.99,39.24
